,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,165,santa marinella,42.03,11.85,73.99,53,1,1.01,IT,1595451585
166,166,cabo san lucas,22.89,-109.91,93.0,65,20,12.75,MX,1595451232
167,167,airai,-8.93,125.41,53.58,53,100,4.03,TL,1595451463
168,168,ahuimanu,21.44,-157.84,81.0,74,40,9.17,US,1595451531
169,169,ormara,25.21,64.64,84.63,80,48,13.85,PK,1595451585
170,170,vila franca do campo,37.72,-25.43,69.8,64,40,6.93,PT,1595451246
171,171,tomohon,1.33,124.84,75.2,94,40,2.24,ID,1595451586
172,172,bulungu,-4.55,18.6,80.1,32,100,1.88,CD,1595451586
173,173,liverpool,53.41,-2.98,62.6,72,75,8.05,GB,1595451320
174,174,mount gambier,-37.83,140.77,44.6,93,90,6.93,AU,1595451470
175,175,navrongo,10.9,-1.09,80.08,74,45,4.32,GH,1595451587
176,176,saint-augustin,51.23,-58.65,70.68,46,100,9.28,CA,1595451474
177,177,awbari,26.59,12.78,83.16,20,0,10.85,LY,1595451587
178,178,petropavlovsk-kamchatskiy,53.05,158.65,51.8,87,43,8.95,RU,1595451468
179,179,sao jose do egito,-7.48,-37.27,72.81,45,46,8.46,BR,1595451587
180,180,artvin,41.17,41.83,68.0,88,37,9.17,TR,1595451247
181,181,mount isa,-20.73,139.5,51.8,37,0,3.36,AU,1595451550
182,182,carndonagh,55.25,-7.27,64.4,82,75,6.93,IE,1595451248
183,183,aleksandrov gay,50.15,48.57,72.57,53,0,5.91,RU,1595451248
184,184,pisco,-13.7,-76.22,68.0,72,0,6.93,PE,1595451588
185,185,acapulco,16.86,-99.89,86.0,70,40,8.05,MX,1595451588
186,186,torbay,47.67,-52.73,73.99,49,75,17.22,CA,1595451451
187,187,kalmar,56.66,16.36,59.0,76,17,9.17,SE,1595451577
188,188,constitucion,-35.33,-72.42,53.22,71,23,3.62,CL,1595451249
189,189,tezu,27.92,96.17,76.68,75,99,1.79,IN,1595451494
190,190,sur,22.57,59.53,83.91,74,69,20.24,OM,1595451520
191,191,caravelas,-17.71,-39.25,69.58,67,0,3.51,BR,1595451591
192,192,divinopolis,-20.14,-44.88,69.57,48,0,1.92,BR,1595451591
193,193,vagur,61.47,-6.81,51.78,88,100,7.09,FO,1595451591
194,194,new norfolk,-42.78,147.06,42.01,87,65,1.01,AU,1595451541
195,195,qaanaaq,77.48,-69.36,48.04,52,0,1.36,GL,1595451459
196,196,vao,-22.67,167.48,67.42,73,100,17.94,NC,1595451592
197,197,korla,41.76,86.15,73.15,49,94,12.93,CN,1595451251
198,198,esperance,-33.87,121.9,55.4,58,75,19.46,AU,1595451592
199,199,carnarvon,-24.87,113.63,57.2,100,0,6.93,AU,1595451592
200,200,betong,5.77,101.07,69.94,94,88,1.52,TH,1595451592
201,201,fuxin,42.02,121.66,72.66,61,12,2.62,CN,1595451593
202,202,honningsvag,70.98,25.97,48.2,93,75,10.29,NO,1595451252
203,203,grand-lahou,5.14,-5.02,74.8,90,88,10.02,CI,1595451593
204,204,kawerau,-38.1,176.7,54.0,72,3,4.0,NZ,1595451593
205,205,yarada,17.65,83.27,82.4,88,90,4.7,IN,1595451594
206,206,severo-kurilsk,50.68,156.12,51.78,84,33,0.22,RU,1595451547
207,207,faya,18.39,42.45,71.6,88,23,3.4,SA,1595451594
208,208,margate,51.38,1.39,64.0,64,24,1.99,GB,1595451594
209,209,shiyan,32.65,110.78,70.97,90,100,4.5,CN,1595451595
210,210,qinggang,46.68,126.08,66.29,89,1,5.17,CN,1595451595
211,211,jaguaquara,-13.53,-39.97,62.02,79,0,5.23,BR,1595451595
212,212,berlevag,70.86,29.09,48.2,100,75,11.41,NO,1595451547
213,213,batagay-alyta,67.8,130.41,65.93,55,0,4.16,RU,1595451595
214,214,tiksi,71.69,128.87,51.91,80,66,3.53,RU,1595451254
215,215,leningradskiy,69.38,178.42,60.66,47,100,4.12,RU,1595451159
216,216,tahe,52.33,124.73,60.66,78,78,1.63,CN,1595451502
217,217,kattivakkam,13.22,80.32,84.2,83,40,6.93,IN,1595451596
218,218,tokur,53.13,132.9,51.6,93,82,3.44,RU,1595451596
219,219,saint-claude,46.5,5.83,71.6,73,27,6.93,FR,1595451597
220,220,den helder,52.96,4.76,59.0,71,90,4.7,NL,1595451597
221,221,ouegoa,-20.35,164.43,69.03,74,56,15.39,NC,1595451597
222,222,tuatapere,-46.13,167.68,39.0,83,95,3.0,NZ,1595451257
223,223,yellowknife,62.46,-114.35,64.4,93,90,10.29,CA,1595451598
224,224,codrington,-38.27,141.97,47.28,79,100,4.54,AU,1595451257
225,225,souillac,-20.52,57.52,69.8,52,75,16.11,MU,1595451257
226,226,rio gallegos,-51.62,-69.22,23.0,79,0,8.05,AR,1595451258
227,227,ouro preto do oeste,-10.75,-62.22,89.17,38,0,1.36,BR,1595451599
228,228,santa cruz cabralia,-16.28,-39.02,75.2,57,0,5.82,BR,1595451599
229,229,chicama,-7.84,-79.15,69.35,61,3,9.86,PE,1595451258
230,230,faanui,-16.48,-151.75,77.22,79,38,19.01,PF,1595451258
231,231,ulladulla,-35.35,150.47,46.4,81,90,10.29,AU,1595451259
232,232,arlit,18.74,7.39,99.39,15,48,12.8,NE,1595451259
233,233,tarakan,3.3,117.63,78.13,87,58,8.37,ID,1595451600
234,234,norman wells,65.28,-126.83,55.4,76,75,18.34,CA,1595451600
235,235,monteagudo,-19.82,-63.98,81.23,34,2,6.82,BO,1595451601
236,236,ostrovnoy,68.05,39.51,59.58,78,32,8.32,RU,1595451601
237,237,sao luiz gonzaga,-28.41,-54.96,70.47,82,100,7.09,BR,1595451601
238,238,yingcheng,30.95,113.55,82.4,88,65,2.24,CN,1595451601
239,239,necochea,-38.55,-58.74,48.0,98,100,21.0,AR,1595451060
240,240,presidencia roque saenz pena,-26.79,-60.44,72.45,58,15,10.38,AR,1595451260
241,241,shar,49.59,81.05,61.65,69,88,5.37,KZ,1595451603
242,242,ucluelet,48.93,-125.55,61.0,93,90,5.82,CA,1595451261
243,243,krasnodar,45.0,40.0,69.8,77,0,6.71,RU,1595451604
244,244,yumen,40.28,97.2,71.04,41,100,1.25,CN,1595451605
245,245,baykit,61.67,96.37,54.84,81,99,2.86,RU,1595451606
246,246,kasongo-lunda,-6.47,16.82,72.46,27,75,0.74,CD,1595451607
247,247,sioux lookout,50.1,-91.92,80.6,34,75,6.93,CA,1595451263
248,248,ishigaki,24.34,124.16,84.6,81,73,11.43,JP,1595451006
249,249,ballina,-28.87,153.57,53.6,87,90,8.05,AU,1595451607
250,250,quatre cocos,-20.21,57.76,69.8,52,75,16.11,MU,1595451608
251,251,shiliguri,26.7,88.43,77.61,90,89,2.8,IN,1595451608
252,252,znamenskoye,57.13,73.83,49.14,82,0,5.53,RU,1595451609
253,253,ames,42.03,-93.62,81.0,51,20,3.36,US,1595451609
254,254,vila velha,-20.33,-40.29,78.01,69,0,11.41,BR,1595451478
255,255,eureka,40.8,-124.16,72.0,53,52,3.0,US,1595451537
256,256,oranjemund,-28.55,16.43,59.29,70,0,2.77,,1595451265
257,257,goderich,43.75,-81.72,79.0,80,3,7.63,CA,1595451573
258,258,obera,-27.49,-55.12,69.85,73,100,3.47,AR,1595451610
259,259,padang,-0.95,100.35,73.4,94,40,6.93,ID,1595451498
260,260,salou,41.08,1.14,79.0,78,22,1.97,ES,1595451345
261,261,college,64.86,-147.8,57.2,71,75,5.82,US,1595451611
262,262,sri aman,1.24,111.46,75.2,100,100,0.92,MY,1595451611
